iter	Passed	Remaining
0	120	120100
1	124	62288
2	129	42958
3	133	33306
4	138	27509
5	142	23623
6	146	20827
7	151	18807
8	156	17201
9	160	15879
10	165	14835
11	169	13955
12	174	13213
13	178	12573
14	182	12006
15	187	11504
16	191	11072
17	196	10694
18	200	10344
19	204	10027
20	208	9741
21	213	9478
22	217	9244
23	221	9016
24	226	8823
25	230	8650
26	235	8488
27	240	8338
28	244	8193
29	249	8056
30	253	7929
31	258	7810
32	262	7689
33	266	7577
34	270	7470
35	275	7368
36	279	7275
37	284	7196
38	288	7112
39	293	7043
40	298	6971
41	302	6895
42	306	6827
43	311	6762
44	316	6711
45	321	6658
46	325	6609
47	331	6569
48	336	6521
49	340	6472
50	345	6437
51	351	6407
52	356	6366
53	361	6324
54	365	6282
55	370	6240
56	374	6197
57	379	6156
58	383	6115
59	387	6074
60	392	6038
61	396	5995
62	400	5957
63	405	5931
64	410	5908
65	416	5887
66	420	5859
67	425	5829
68	429	5797
69	434	5769
70	438	5735
71	442	5707
72	447	5677
73	451	5649
74	455	5623
75	460	5597
76	464	5572
77	469	5552
78	474	5534
79	479	5508
80	483	5484
81	487	5460
82	492	5437
83	496	5412
84	500	5390
85	504	5366
86	509	5346
87	513	5322
88	517	5299
89	522	5278
90	526	5258
91	530	5240
92	535	5222
93	540	5205
94	544	5190
95	549	5176
96	554	5159
97	559	5146
98	563	5131
99	568	5116
100	572	5099
101	577	5081
102	581	5064
103	585	5047
104	590	5032
105	594	5015
106	599	5005
107	603	4988
108	608	4970
109	612	4954
110	616	4937
111	620	4922
112	625	4906
113	629	4891
114	633	4877
115	638	4865
116	642	4851
117	647	4838
118	652	4827
119	656	4817
120	661	4804
121	665	4790
122	669	4776
123	674	4763
124	679	4753
125	683	4740
126	687	4727
127	691	4714
128	696	4704
129	701	4693
130	705	4680
131	709	4667
132	714	4656
133	719	4647
134	723	4635
135	727	4623
136	732	4611
137	736	4598
138	740	4586
139	744	4573
140	749	4563
141	753	4552
142	757	4540
143	762	4530
144	766	4519
145	771	4510
146	775	4500
147	780	4491
148	784	4479
149	788	4469
150	792	4457
151	796	4446
152	801	4436
153	805	4425
154	809	4414
155	813	4403
156	818	4392
157	822	4382
158	826	4372
159	830	4361
160	835	4352
161	839	4343
162	844	4334
163	848	4326
164	852	4316
165	857	4306
166	861	4297
167	865	4286
168	869	4276
169	873	4266
170	878	4256
171	882	4247
172	886	4237
173	890	4228
174	895	4219
175	899	4209
176	903	4200
177	907	4192
178	912	4184
179	916	4177
180	921	4168
181	925	4159
182	929	4150
183	933	4141
184	937	4132
185	941	4122
186	946	4114
187	950	4106
188	955	4100
189	960	4094
190	965	4087
191	970	4082
192	974	4075
193	979	4068
194	983	4061
